"fe016"::	That's  looks  strange.::	0
"me011"::	O_K, now we're on and it seems to be working.::	0
"fe008"::	Oh there we go.::	0
"mn005"::	One two three four five six::	0
"fe008"::	This looks good.::	0
"me018"::	That is weird.::	0
"me018"::	It's like when it's been sitting for a long time or something.::	0
"me011"::	So, I mean -::	0
"me011"::	I don't know  what  it is.::	0
"me011"::	But all - all I know is that it seems like every time I::	0
"me011"::	am up here  after  a meeting,::	0
"me011"::	and I start it,::	0
"me011"::	it works fine.::	0
"me011"::	And if I'm up here and I start it and we're all sitting here waiting to have a  meeting,  it::	0
"me011"::	gives me that  error  message and I have not yet sat down with -::	0
"me011"::	been able to get that  error  message in a point where I can sit down and find out where it's occurring in the  code.::	0
"me018"::	Next time you get it maybe we should write it down.::	0
"me011"::	Yep, we will.::	0
"me013"::	Yeah.::	0
"fe008"::	Was it a pause, or - ?::	0
"me011"::	One of these days.::	0
"fe008"::	O_K. Was it on "pause"::	0
"fe008"::	or something?::	0
"me011"::	No.::	0
"fe008"::	O_K.::	0
"fe008"::	Don't know.::	0
"me013"::	So uh - so the uh,::	0
"me013"::	the new procedural change that just got suggested, which I think is a good idea is that um,::	0
"me013"::	we do the digit recordings at the  end.::	0
"me013"::	And that way, if we're recording somebody else's uh meeting,::	0
"me013"::	and a number of the participants have to run off to some other meeting and don't have the time,::	0
"me013"::	uh, then they can run off.::	0
"me013"::	It'll mean we'll get somewhat fewer::	0
"me013"::	uh, sets of digits, but um, I think that way we'll::	0
"me013"::	cut into people's time, um,::	0
"me013"::	if someone's on strict time::	0
"me013"::	uh, less.::	0
"me013"::	So, I th- I think - I think we should start doing that.::	0
"me013"::	Um,::	0
"me013"::	so, uh, let's see, we were having a discussion the other day,::	0
"me013"::	maybe we should bring that up,::	0
"me013"::	about uh, the nature of the data that we are collecting.::	0
"me013"::	uh::	0
"me013"::	@@::	0
"me013"::	that uh, we should have a fair amount of data that is::	0
"me013"::	um, collected for the same meeting,::	0
"me013"::	so that we can, uh -::	0
"me013"::	I don't know. Wh- what - what were some of the points again about that?::	0
"me013"::	Is it -::	0
"fe016"::	Uh, well, O_K, I'll back up.  Um, at the previous - at last week's meeting,  this  meeting::	0
"me013"::	Yeah.::	0
"fe016"::	I was griping::	0
"fe016"::	about wanting to get more data and I - I talked about this with Jane and::	0
"fe016"::	Adam, um, and was thinking of::	0
"fe016"::	this mostly just so that we could do research::	0
"fe016"::	on this data::	0
"fe016"::	um, since we'll have a new - this new student di- does wanna work with us,  th- the guy that was at the last meeting.::	0
"me018"::	Well, great.::	0
"me018"::	Great.::	0
"fe016"::	And he's already funded part-time, so we'll only be paying him for sort of for  half  of the normal part-time,::	0
"me018"::	What a deal.::	0
"fe016"::	uh -::	0
"fe016"::	Yeah.::	0
"me011"::	And what's he interested in, specifically?::	0
